ticker,full_10y,dva_shares,dva_spent,dva_cash,dva_avg_price,dva_trades,P_end,A_P_dca,A_extra_shares,A_mix_shares,A_mix_avg_price,A_dca_pure_shares,A_eff_mix,A_eff_dca,A_improvement,B_P_dca,B_extra_shares,B_mix_shares,B_mix_avg_price,B_dca_pure_shares,B_eff_mix,B_eff_dca,B_improvement,n_months,monthly_budget,n_days
3951.T,True,2600,2067820.751953125,3932179.248046875,795.315673828125,26,855.3370971679688,810.64453125,4800,7400,805.258716480152,7400,1.054915753173828,1.054915753173828,1.0,818.5861956278483,4800,7400,810.4100663468645,7300,1.054915753173828,1.0406601348876954,1.0136986301369861,120,50000.0,2465
3958.T,False,2200,1119389.5141601562,4880610.485839843,508.81341552734375,22,546.9458618164062,525.5807811000891,9200,11400,522.3449737088575,11400,1.039197137451172,1.039197137451172,1.0,526.9062608991351,9200,11400,523.4146591607192,11300,1.039197137451172,1.030081373087565,1.008849557522124,28,214285.7142857143,556
4623.T,True,1500,2115178.955078125,3884821.044921875,1410.1193033854167,15,1694.27587890625,1499.315998840332,2500,4000,1465.8672380447388,4000,1.1295172526041666,1.1295172526041666,1.0,1508.6360799153647,2500,4000,1471.6922887166343,3900,1.1295172526041666,1.1012793212890626,1.0256410256410255,120,50000.0,2465
3955.T,True,2800,1455471.4782714844,4544528.521728516,519.8112422398159,28,979.0297241210938,592.579940032959,7600,10400,572.9883675501897,10100,1.6969848551432292,1.6480333689371744,1.0297029702970297,681.0296288808187,6600,9400,633.0071307324349,8800,1.5338132344563802,1.4359102620442707,1.0681818181818181,120,50000.0,2465
3067.T,True,5000,2548462.551879883,3451537.448120117,509.69251037597655,50,441.0,546.3980507106955,6300,11300,530.1566611820588,10900,0.83055,0.80115,1.036697247706422,552.8432350158691,6200,11200,533.5795186587742,10800,0.8232,0.7938,1.0370370370370372,120,50000.0,2465
3484.T,False,3100,2137415.530395508,3862584.4696044875,689.4888807727444,31,1161.2821044921875,774.565993668197,4900,8000,741.5986124212093,7700,1.5483761393229167,1.4903120340983074,1.0389610389610389,808.994911887429,4700,7800,761.4989251623621,7400,1.5096667358398437,1.432247928873698,1.054054054054054,99,60606.06060606061,2015
3020.T,True,1600,2239822.1557617188,3760177.8442382812,1399.8888473510742,16,4335.4931640625,1643.0550276812385,2200,3800,1540.669267542222,3600,2.7458123372395833,2.6012958984375,1.0555555555555556,1994.6728177388509,1800,3400,1714.7744787328384,3000,2.456779459635417,2.16774658203125,1.1333333333333335,120,50000.0,2465
3435.T,True,2300,1978038.2446289062,4021961.7553710938,860.0166280995245,23,1281.4715576171875,840.2375688825335,4700,7000,846.7364026252592,7100,1.4950501505533855,1.5164080098470052,0.9859154929577466,889.1368807474772,4500,6800,879.2873835283167,6700,1.4523344319661458,1.430976572672526,1.0149253731343282,120,50000.0,2465
3134.T,True,4500,3248899.1485595703,2751100.8514404297,721.9775885687934,45,457.55322265625,933.0184284448624,2900,7400,804.6827825742799,6400,0.5643156412760416,0.4880567708333333,1.15625,1085.7251845677695,2500,7000,851.8874442827134,5500,0.5338120930989584,0.41942378743489583,1.272727272727273,120,50000.0,2465
3943.T,False,1800,1664202.4291992188,4335797.570800781,924.5569051106771,18,1374.55517578125,935.265619187128,4600,6400,932.2537933531262,6400,1.4661921875,1.4661921875,1.0,967.6177368164062,4400,6200,955.1162050308719,6200,1.420373681640625,1.420373681640625,1.0,47,127659.5744680851,943
3698.T,True,3100,3685704.132080078,2314295.867919922,1188.936816800025,31,1082.943115234375,1351.482486378063,1700,4800,1246.5050747755802,4400,0.8663544921875,0.7941582845052083,1.090909090909091,1650.764754486084,1400,4500,1332.616619635688,3600,0.8122073364257812,0.649765869140625,1.25,120,50000.0,2465
4635.T,True,4300,1567511.1022949219,4432488.897705078,364.5374656499818,43,1398.583740234375,415.46164268917505,10600,14900,400.76540367786424,14400,3.4731496215820314,3.3566009765625,1.0347222222222223,469.58094533284503,9400,13700,436.611094045523,12700,3.1934328735351563,2.960335583496094,1.078740157480315,120,50000.0,2465
3096.T,True,2500,2202459.4482421875,3797540.5517578125,880.983779296875,25,1477.454833984375,932.1044816970825,4000,6500,912.4426730816181,6400,1.6005760701497396,1.5759518229166667,1.015625,950.5371157328287,3900,6400,923.3678436875343,6300,1.5759518229166667,1.5513275756835938,1.0158730158730158,120,50000.0,2465
3426.T,True,2500,2633787.4938964844,3366212.5061035156,1053.5149975585937,25,1305.2314453125,1087.8027089436848,3000,5500,1072.2173855868252,5500,1.196462158203125,1.196462158203125,1.0,1134.281793721517,2900,5400,1096.8897584609044,5200,1.17470830078125,1.1312005859375,1.0384615384615383,120,50000.0,2465
3667.T,True,12500,3059100.0,2940900.0,244.728,125,57.0,327.8387978142076,8900,21400,279.2927710535723,18300,0.2033,0.17385,1.169398907103825,574.8,5100,17600,340.37386363636364,10400,0.1672,0.0988,1.6923076923076923,120,50000.0,2465
3080.T,True,4300,1689225.29296875,4310774.70703125,392.8430913880814,43,787.7791137695312,417.16285364110985,10300,14600,410.00018393645075,14300,1.9169291768391927,1.8775402211507162,1.020979020979021,458.6287665685018,9300,13600,437.8288839746924,13000,1.785632657877604,1.706854746500651,1.0461538461538462,120,50000.0,2465
