score_threshold,w_shortage,w_value,w_bb,w_trend,w_risk,value_band,risk_ratio,max_lots_per_trade,lot_size,all_A_mean,all_A_median,all_A_winrate,all_B_mean,all_B_median,all_B_winrate,full_A_mean,full_B_mean,is_A_mean,is_B_mean,oos_A_mean,oos_B_mean,combo_score
0.65,0.05,0.05,0.45,0.45,-0.2,0.15,1.0,2,100,0.9785436678099746,1.0,0.3238095238095238,1.1363216659616768,1.0892857142857144,0.8952380952380953,0.9783973334397859,1.1486793131180806,0.9863971397810968,1.0526830263356886,1.0048209450383552,1.0796017820816943,0.9916823064241649
0.65,0.05,0.05,0.45,0.45,-0.2,0.15,1.3,2,100,0.9785436678099746,1.0,0.3238095238095238,1.1360835707235815,1.0892857142857144,0.8952380952380953,0.9783973334397859,1.1483272004420242,0.9865502322489473,1.0528547886166915,1.0048209450383552,1.0796017820816943,0.9916823064241649
0.65,0.05,0.05,0.45,0.45,-0.2,0.25,1.0,2,100,0.9785436678099746,1.0,0.3238095238095238,1.1363216659616768,1.0892857142857144,0.8952380952380953,0.9783973334397859,1.1486793131180806,0.9863971397810968,1.0526830263356886,1.0048209450383552,1.0796017820816943,0.9916823064241649
0.65,0.05,0.05,0.45,0.45,-0.2,0.25,1.3,2,100,0.9785436678099746,1.0,0.3238095238095238,1.1363216659616768,1.0892857142857144,0.8952380952380953,0.9783973334397859,1.1486793131180806,0.9863971397810968,1.0526830263356886,1.0048209450383552,1.0796017820816943,0.9916823064241649
0.65,0.05,0.05,0.45,0.45,-0.1,0.15,1.0,2,100,0.9785436678099746,1.0,0.3238095238095238,1.1363216659616768,1.0892857142857144,0.8952380952380953,0.9783973334397859,1.1486793131180806,0.9863971397810968,1.0526830263356886,1.0048209450383552,1.0796017820816943,0.9916823064241649
0.65,0.05,0.05,0.45,0.45,-0.1,0.15,1.3,2,100,0.9785436678099746,1.0,0.3238095238095238,1.1360835707235815,1.0892857142857144,0.8952380952380953,0.9783973334397859,1.1483272004420242,0.9865502322489473,1.0528547886166915,1.0048209450383552,1.0796017820816943,0.9916823064241649
0.65,0.05,0.05,0.45,0.45,-0.1,0.25,1.0,2,100,0.9785436678099746,1.0,0.3238095238095238,1.1363216659616768,1.0892857142857144,0.8952380952380953,0.9783973334397859,1.1486793131180806,0.9863971397810968,1.0526830263356886,1.0048209450383552,1.0796017820816943,0.9916823064241649
0.65,0.05,0.05,0.45,0.45,-0.1,0.25,1.3,2,100,0.9785436678099746,1.0,0.3238095238095238,1.1363216659616768,1.0892857142857144,0.8952380952380953,0.9783973334397859,1.1486793131180806,0.9863971397810968,1.0526830263356886,1.0048209450383552,1.0796017820816943,0.9916823064241649
0.4,0.05,0.05,0.65,0.25,-0.2,0.15,1.0,2,100,0.9785436678099746,1.0,0.3238095238095238,1.1363216659616768,1.0892857142857144,0.8952380952380953,0.9783973334397859,1.1486793131180806,0.9863971397810968,1.0526830263356886,1.0048209450383552,1.0796017820816943,0.9916823064241649
0.4,0.05,0.05,0.65,0.25,-0.2,0.15,1.3,2,100,0.9785436678099746,1.0,0.3238095238095238,1.1360835707235815,1.0892857142857144,0.8952380952380953,0.9783973334397859,1.1483272004420242,0.9865502322489473,1.0528547886166915,1.0048209450383552,1.0796017820816943,0.9916823064241649
