ticker,sigma,hurst,corr_bmk,mu,mdd,log_vol,n_days,full_10y
2385.T,0.5579546342880543,0.4883632143627307,0.2942575314714901,0.04250815310545075,-0.8901518203183865,12.9428014964209,2465,True
4892.T,0.6688734183308402,0.46422945833444035,0.20112734552442577,-0.3122906806405138,-0.8021680216802168,13.098762331272324,756,False
6999.T,0.3881520560224978,0.5312478868815251,0.5823045990353461,0.05777768266251582,-0.7252531474895756,12.32326711946726,2465,True
8388.T,0.289181420495146,0.3665092670682662,0.5903312363068968,0.047377178738705616,-0.5526686063442557,11.069304082266834,2465,True
6532.T,0.55885534036547,0.4560127416676393,0.34189017950961326,0.4955216498729438,-0.5775817627646246,14.475420651200618,2300,False
6460.T,0.3172428200755076,0.49333113598143846,0.46930058770100347,0.11091615607943073,-0.45636085044078956,14.008779332724748,2465,True
9519.T,0.6156379766505107,0.5646650107744092,0.2961601804760455,0.055390027173808365,-0.9205546492659054,14.302881439639993,2184,False
9601.T,0.27635003079123865,0.4390243784533532,0.465086819815564,0.007053806210995495,-0.5502875379772338,10.641273192233962,2465,True
8362.T,0.3109621450044922,0.4437661943667529,0.5636083492812715,0.03884868079396786,-0.6049868452869639,10.266274721913518,2465,True
6961.T,0.49620454596434027,0.5251399056765836,0.46334606402691286,0.10195746663042882,-0.7720950552710149,11.44087619607346,2465,True
4911.T,0.35046715043478405,0.4774101471368321,0.47340284254979487,0.0039052391996852176,-0.7479809171093869,14.630669614024892,2465,True
7383.T,0.6735527164898726,0.4950642887999629,0.39746178512892527,-0.2191377602899156,-0.90625,13.978611617486433,990,False
5032.T,0.6485192822303685,0.48229687430458174,0.2841534461446107,0.18724600994868723,-0.6936669055132226,14.2282302746824,874,False
9310.T,0.3540577430143344,0.3963768603162738,0.5093177603957844,0.12625786797386285,-0.4156069840789935,10.91637227926972,2465,True
8084.T,0.24049898434749473,0.38476786662170737,0.5990767950542595,0.12850812234056086,-0.3408269175202799,10.378898884172838,2465,True
3778.T,0.612318371452373,0.498158959190247,0.32015500680493575,0.12408805936534417,-0.8207466935010121,14.004241102218238,2465,True
4443.T,0.5628091209585593,0.46039837532920524,0.3130857805597365,0.03847867168781516,-0.7738764064238239,14.03789609983272,1597,False
2726.T,0.3583110732436644,0.4653203644550003,0.3119012030863231,0.2281825245664295,-0.41102909996295267,13.462223646770264,2465,True
7203.T,0.27794500317002935,0.432304751942453,0.7213991324893122,0.12385201697373027,-0.416741745086937,17.25448401309015,2465,True
