threshold,score_mix_lambda,w_shortage,w_value,w_bb,w_trend,w_risk,shares,spent,cash,trades,avg_price
0.4,0.7,0.35,0.45,0.15,0.15,0.2,371,12869.06542301178,47130.93457698822,173,34.687507878737954
0.4,0.6,0.35,0.35,0.1,0.15,0.1,371,11150.94594669342,48849.05405330658,168,30.056458077340757
0.4,0.6,0.45,0.25,0.1,0.15,0.2,371,10625.504398345947,49374.49560165405,173,28.640173580447296
0.45,0.7,0.45,0.35,0.1,0.15,0.1,371,10615.59753036499,49384.40246963501,179,28.613470432250647
0.4,0.7,0.45,0.25,0.15,0.15,0.2,370,10582.778276443481,49417.22172355652,176,28.60210344984725
0.4,0.6,0.35,0.45,0.1,0.15,0.2,369,12410.159685134888,47589.84031486511,165,33.6318690654062
0.4,0.8,0.45,0.35,0.1,0.15,0.2,369,10789.603246688843,49210.39675331116,220,29.240117199698762
0.4,0.7,0.45,0.25,0.1,0.15,0.2,368,10564.60486984253,49435.39513015747,178,28.708165407180786
0.45,0.8,0.45,0.35,0.2,0.15,0.1,367,11572.307243347168,48427.69275665283,224,31.532172325196644
0.5,0.6,0.45,0.45,0.2,0.15,0.1,366,12181.772847175598,47818.2271528244,156,33.283532369332235
0.45,0.7,0.45,0.45,0.1,0.15,0.2,366,11001.041311264038,48998.95868873596,172,30.057489921486443
0.4,0.7,0.35,0.45,0.1,0.15,0.2,365,12243.57075881958,47756.42924118042,174,33.54402947621803
0.4,0.8,0.45,0.45,0.1,0.15,0.3,365,11149.179880142212,48850.82011985779,202,30.545698301759483
0.4,0.7,0.45,0.45,0.1,0.1,0.2,365,10972.538869857788,49027.46113014221,173,30.061750328377503
0.45,0.6,0.45,0.45,0.2,0.1,0.1,364,12154.724776268005,47845.275223731995,158,33.39210103370331
0.4,0.8,0.45,0.35,0.2,0.1,0.1,364,11471.363697052002,48528.636302948,227,31.514735431461546
0.4,0.7,0.35,0.35,0.1,0.15,0.1,364,10864.617450714111,49135.38254928589,177,29.847850139324482
0.45,0.8,0.45,0.45,0.2,0.15,0.2,363,12263.734150886536,47736.265849113464,203,33.78439160023839
0.45,0.6,0.45,0.45,0.2,0.15,0.3,361,12167.850509643555,47832.149490356445,156,33.70595709042536
0.4,0.6,0.45,0.45,0.2,0.05,0.1,361,12043.13029384613,47956.86970615387,158,33.36047172810562
0.4,0.7,0.45,0.35,0.1,0.15,0.3,361,10714.072814941406,49285.927185058594,171,29.6788720635496
0.5,0.7,0.45,0.45,0.2,0.15,0.1,360,11973.543860435486,48026.456139564514,160,33.25984405676524
0.4,0.6,0.45,0.25,0.2,0.15,0.3,360,11597.35537815094,48402.64462184906,163,32.21487605041928
0.4,0.8,0.35,0.35,0.2,0.15,0.1,359,12701.181153297424,47298.818846702576,222,35.37933468885076
0.4,0.8,0.45,0.45,0.2,0.1,0.2,359,12176.980021476746,47823.019978523254,206,33.919164405227704
0.45,0.6,0.45,0.35,0.2,0.15,0.2,359,11856.75414943695,48143.24585056305,159,33.02717033269346
0.4,0.6,0.45,0.45,0.2,0.1,0.3,358,12111.882821083069,47888.11717891693,157,33.83207491922645
0.4,0.6,0.35,0.45,0.2,0.15,0.3,357,13466.349143981934,46533.65085601807,156,37.72086594952923
0.4,0.6,0.45,0.35,0.2,0.1,0.2,357,11843.6307554245,48156.3692445755,160,33.17543628970448
0.4,0.8,0.45,0.25,0.2,0.15,0.2,357,11032.261716842651,48967.73828315735,209,30.902693884713308
0.45,0.7,0.45,0.45,0.2,0.1,0.1,356,11852.712292671204,48147.2877073288,161,33.2941356535708
0.45,0.6,0.35,0.45,0.2,0.15,0.1,355,13109.366106987,46890.633893013,151,36.9277918506676
0.45,0.7,0.45,0.45,0.2,0.15,0.3,355,11976.279852867126,48023.72014713287,161,33.7359995855412
