threshold,score_mix_lambda,w_shortage,w_value,w_bb,w_trend,w_risk,shares,spent,cash,trades,avg_price
0.55,0.6,0.45,0.45,0.15,0.15,0.1,500,8350.070693969727,51649.92930603027,197,16.700141387939453
0.5,0.7,0.45,0.45,0.2,0.1,0.1,497,9638.30934047699,50361.69065952301,207,19.39297654019515
0.4,0.6,0.35,0.45,0.2,0.15,0.2,496,13503.869366645813,46496.13063335419,199,27.225543077914946
0.4,0.8,0.45,0.35,0.15,0.15,0.2,496,8352.266706466675,51647.733293533325,278,16.839247392069908
0.5,0.6,0.45,0.45,0.15,0.1,0.1,495,8277.652027130127,51722.34797286987,199,16.72252934773763
0.45,0.7,0.45,0.45,0.1,0.15,0.2,495,8169.615370750427,51830.38462924957,220,16.50427347626349
0.4,0.8,0.35,0.45,0.1,0.1,0.1,494,12086.679379463196,47913.320620536804,278,24.46696230660566
0.55,0.6,0.45,0.45,0.1,0.15,0.1,494,7940.253366470337,52059.74663352966,198,16.073387381518902
0.45,0.6,0.35,0.35,0.2,0.15,0.1,492,12138.908031463623,47861.09196853638,204,24.67257729972281
0.4,0.7,0.45,0.45,0.1,0.1,0.2,492,8149.720703125,51850.279296875,222,16.5644729738313
0.45,0.6,0.45,0.45,0.15,0.05,0.1,491,8233.683359146118,51766.31664085388,203,16.76921254408578
0.4,0.6,0.35,0.35,0.2,0.1,0.1,490,12111.51136302948,47888.48863697052,205,24.717370128631593
0.55,0.7,0.45,0.45,0.15,0.15,0.1,489,8188.822691917419,51811.17730808258,204,16.746058674677748
0.4,0.8,0.45,0.35,0.1,0.15,0.2,489,8079.240043640137,51920.75995635986,280,16.521963279427684
0.5,0.6,0.45,0.45,0.1,0.1,0.1,489,7863.532698631287,52136.46730136871,201,16.080843964481158
0.45,0.7,0.45,0.45,0.2,0.05,0.1,488,9514.275337219238,50485.72466278076,209,19.496465854957457
0.4,0.7,0.35,0.25,0.15,0.15,0.1,487,8168.056023597717,51831.94397640228,227,16.772188960159585
0.4,0.8,0.25,0.45,0.2,0.15,0.1,486,20621.924107551575,39378.075892448425,253,42.43194260813081
0.5,0.8,0.45,0.35,0.2,0.15,0.1,486,8772.354021072388,51227.64597892761,259,18.050111154469935
0.5,0.7,0.45,0.45,0.15,0.1,0.1,484,8128.312689781189,51871.68731021881,207,16.794034483018986
0.45,0.6,0.45,0.45,0.1,0.05,0.1,484,7816.112698554993,52183.88730144501,203,16.14899317883263
0.45,0.7,0.45,0.45,0.15,0.05,0.1,481,8120.354021072388,51879.64597892761,210,16.882232892042385
0.55,0.7,0.45,0.45,0.1,0.15,0.1,481,7765.717360496521,52234.28263950348,207,16.144942537414806
0.4,0.7,0.35,0.25,0.1,0.15,0.1,480,7765.332026481628,52234.66797351837,233,16.17777505517006
0.5,0.7,0.45,0.45,0.1,0.1,0.1,479,7782.847363471985,52217.152636528015,210,16.248115581361137
0.45,0.7,0.35,0.35,0.2,0.15,0.1,478,11795.64136505127,48204.35863494873,208,24.677073985462908
0.45,0.8,0.45,0.35,0.2,0.1,0.1,477,8584.589352607727,51415.41064739227,263,17.99704266794073
0.5,0.6,0.35,0.45,0.2,0.15,0.1,476,14408.320032119751,45591.67996788025,189,30.26957989941124
0.5,0.8,0.45,0.35,0.15,0.15,0.1,476,7817.014698982239,52182.98530101776,260,16.422299787777813
0.4,0.6,0.45,0.25,0.2,0.15,0.2,476,7716.262041091919,52283.73795890808,198,16.210634540109073
0.45,0.6,0.35,0.35,0.15,0.15,0.1,473,9292.986674308777,50707.01332569122,198,19.64690628817923
0.45,0.8,0.45,0.45,0.2,0.15,0.2,473,9054.628680229187,50945.37131977081,239,19.14297818230272
0.4,0.6,0.45,0.25,0.15,0.15,0.2,473,7676.059369087219,52323.94063091278,199,16.22845532576579
0.4,0.6,0.35,0.45,0.15,0.15,0.2,472,9516.317345619202,50483.6826543808,191,20.161689291566105
0.4,0.6,0.45,0.45,0.2,0.15,0.3,472,8712.454694747925,51287.545305252075,182,18.458590454974416
0.4,0.8,0.25,0.45,0.15,0.15,0.1,471,19380.749445915222,40619.25055408478,255,41.14808799557372
0.45,0.6,0.35,0.45,0.2,0.1,0.1,471,14098.692705154419,45901.30729484558,191,29.93353015956352
0.4,0.6,0.35,0.35,0.15,0.1,0.1,471,9279.30600643158,50720.69399356842,199,19.70128663785898
0.4,0.6,0.45,0.25,0.1,0.15,0.2,471,7675.691369056702,52324.3086309433,203,16.29658464767877
0.4,0.7,0.35,0.45,0.2,0.15,0.2,470,12716.510039329529,47283.48996067047,205,27.056404338999
0.4,0.7,0.35,0.35,0.2,0.1,0.1,470,11662.232699394226,48337.767300605774,209,24.813261062540906
0.4,0.8,0.45,0.35,0.2,0.05,0.1,470,8461.792016983032,51538.20798301697,267,18.00381280209156
0.4,0.6,0.35,0.45,0.2,0.05,0.1,469,14076.246705055237,45923.75329494476,192,30.013319200544213
